Film   |Year   |Awards    |Nominations
Million Dollar Baby |2004    |4   |7
The Aviator 2004    |5   |1|1
Ray |2004    |2   |6
The Incredibles |2004    |2   |4
Finding Neverland   |2004    |1   |7
Sideways    |2004    |1   |5
Lemony Snicket's A Series of Unfortunate Events |2004    |1   |4
Spider-Man 2    |2004    |1   |3
Eternal Sunshine of the Spotless Mind   |2004    |1   |2
The Motorcycle Diaries  |2004    |1   |2
The Sea Inside  |2004    |1   |2
Born into Brothels  |2004    |1   |1
Mighty Times: The Children's March  |2004    |1   |1
Wasp    |2004    |1   |1
Ryan    |2004    |1   |1
The Lord of the Rings: The Return of the King   |2003    |11  |11
Master and Commander: The Far Side of the World |2003    |2   |10
Mystic River    |2003    |2   |6
Cold Mountain   |2003    |1   |7
Lost in Translation |2003    |1   |4
Finding Nemo    |2003    |1   |4
The Barbarian Invasions |2003    |1   |2
Two Soldiers    |2003    |1   |1
Monster |2003    |1   |1
Harvie Krumpet  |2003    |1   |1
Chernobyl Heart |2003    |1   |1
The Fog of War  |2003    |1   |1
Chicago  |2002    |6   |13
The Pianist |2002    |3   |7
The Lord of the Rings: The Two Towers   |2002    |2   |6
Frida   |2002    |2   |6
The Hours   |2002    |1   |9
Road to Perdition   |2002    |1   |6
Adaptation  |2002    |1   |4
Talk to Her (Hable con ella)    |2002    |1   |2
This Charming Man (Der Er En Yndig Mand)    |2002    |1   |1
Spirited Away   |2002    |1   |1
Nowhere in Africa (Nirgendwo in Afrika) |2002    |1   |1
The ChubbChubbs!    |2002    |1   |1
Twin Towers |2002    |1   |1
Bowling for Columbine   |2002    |1   |1
8 Mile  |2002    |1   |1
A Beautiful Mind    |2001    |4   |8
The Lord of the Rings: The Fellowship of the Ring   |2001    |4   |13
Moulin Rouge!   |2001    |2   |8
Black Hawk Down |2001    |2   |4
Gosford Park    |2001    |1   |7
Monsters, Inc.  |2001    |1   |4
Pearl Harbor    |2001    |1   |4
Iris    |2001    |1   |3
Shrek   |2001    |1   |2
Training Day    |2001    |1   |2
Monster's Ball  |2001    |1   |2
Thoth   |2001    |1   |1
For the Birds   |2001    |1   |1
No Man's Land   |2001    |1   |1
Murder on a Sunday Morning (Un coupable idéal)  |2001    |1   |1
The Accountant  |2001    |1   |1
Gladiator   2000    |5   |1|2
Crouching Tiger, Hidden Dragon  |2000    |4   |10
Traffic |2000    |4   |5
Erin Brockovich |2000    |1   |5
Almost Famous   |2000    |1   |4
Wonder Boys |2000    |1   |3
How the Grinch Stole Christmas  |2000    |1   |3
U-571   |2000    |1   |2
Pollock |2000    |1   |2
Father and Daughter |2000    |1   |1
Into the Arms of Strangers: Stories of the Kindertransport  |2000    |1   |1
Quiero ser (I want to be...)    |2000    |1   |1
Big Mama    |2000    |1   |1
American Beauty |1999    |5   |8
The Matrix  |1999    |4   |4
The Cider House Rules   |1999    |2   |7
Topsy-Turvy |1999    |2   |4
Sleepy Hollow   |1999    |1   |3
Boys Don't Cry  |1999    |1   |2
Tarzan  |1999    |1   |1
One Day in September    |1999    |1   |1
The Red Violin (Le violon rouge)    |1999    |1   |1
The Old Man and the Sea |1999    |1   |1
My Mother Dreams the Satan's Disciples in New York  |1999    |1   |1
King Gimp   |1999    |1   |1
Girl, Interrupted   |1999    |1   |1
All About My Mother (Todo sobre mi madre)   |1999    |1   |1
Shakespeare in Love |1998    |7   |13
Saving Private Ryan |1998    |5   |11
Life Is Beautiful (La vita è bella) |1998    |3   |7
Elizabeth   |1998    |1   |7
Gods and Monsters   |1998    |1   |3
The Prince of Egypt |1998    |1   |2
Affliction  |1998    |1   |2
What Dreams May Come    |1998    |1   |2
The Personals   |1998    |1   |1
The Last Days   |1998    |1   |1
Election Night (Valgaften)  |1998    |1   |1
Bunny   |1998    |1   |1
Titanic |1997    |11  |14
Good Will Hunting   |1997    |2   |9
L.A. Confidential   |1997    |2   |9
As Good as It Gets  |1997    |2   |7
The Full Monty  |1997    |1   |4
Men in Black    |1997    |1   |3
Visas and Virtue    |1997    |1   |1
Character (Karakter)    |1997    |1   |1
Geri's Game |1997    |1   |1
A Story of Healing  |1997    |1   |1
The Long Way Home   |1997    |1   |1
The English Patient 1996    |9   |1|2
Fargo   |1996    |2   |7
Shine   |1996    |1   |7
Evita   |1996    |1   |5
Jerry Maguire   |1996    |1   |5
Independence Day    |1996    |1   |2
Emma    |1996    |1   |2
Sling Blade |1996    |1   |2
The Ghost and the Darkness  |1996    |1   |1
Kolya   |1996    |1   |1
The Nutty Professor |1996    |1   |1
Quest   |1996    |1   |1
When We Were Kings  |1996    |1   |1
Breathing Lessons: The Life and Work of Mark O'Brien    |1996    |1   |1
Dear Diary  |1996    |1   |1
Braveheart  |1995    |5   |10
Apollo 13   |1995    |2   |9
Pocahontas  |1995    |2   |2
The Usual Suspects  |1995    |2   |2
Restoration |1995    |2   |2
Babe    |1995    |1   |7
Sense and Sensibility   |1995    |1   |7
Il Postino: The Postman |1995    |1   |5
Dead Man Walking    |1995    |1   |4
Leaving Las Vegas   |1995    |1   |4
Mighty Aphrodite    |1995    |1   |2
Anne Frank Remembered   |1995    |1   |1
A Close Shave   |1995    |1   |1
Lieberman in Love   |1995    |1   |1
One Survivor Remembers  |1995    |1   |1
Antonia's Line (Antonia)    |1995    |1   |1
Toy Story   |1995    |0   |3
Forrest Gump    |1994    |6   |13
The Lion King   |1994    |2   |4
Speed   |1994    |2   |3
Ed Wood |1994    |2   |2
Pulp Fiction    |1994    |1   |7
Bullets over Broadway   |1994    |1   |7
The Madness of King George  |1994    |1   |4
Legends of the Fall |1994    |1   |3
A Time for Justice  |1994    |1   |1
Franz Kafka's It's a Wonderful Life |1994    |1   |1
Maya Lin: A Strong Clear Vision |1994    |1   |1
Burnt by the Sun (Utomlyonnye solntsem) |1994    |1   |1
Trevor  |1994    |1   |1
The Adventures of Priscilla, Queen of the Desert    |1994    |1   |1
Bob's Birthday  |1994    |1   |1
Blue Sky    |1994    |1   |1
Schindler's List    |1993    |7   |12
The Piano   |1993    |3   |8
Jurassic Park   |1993    |3   |3
Philadelphia    |1993    |2   |5
The Fugitive    |1993    |1   |7
The Age of Innocence    |1993    |1   |5
The Wrong Trousers  |1993    |1   |1
Belle Epoque (The Beautiful Era)    |1993    |1   |1
I Am a Promise: The Children of Stanton Elementary School   |1993    |1   |1
Mrs. Doubtfire  |1993    |1   |1
Black Rider (Schwarzfahrer) |1993    |1   |1
Defending Our Lives |1993    |1   |1
Unforgiven  |1992    |4   |9
Howards End |1992    |3   |9
Bram Stoker's Dracula   |1992    |3   |4
Aladdin |1992    |2   |5
The Crying Game |1992    |1   |6
Scent of a Woman    |1992    |1   |4
A River Runs Through It |1992    |1   |3
Indochine   |1992    |1   |2
My Cousin Vinny |1992    |1   |1
The Panama Deception    |1992    |1   |1
Educating Peter |1992    |1   |1
The Last of the Mohicans    |1992    |1   |1
Death Becomes Her   |1992    |1   |1
Omnibus |1992    |1   |1
Mona Lisa Descending a Staircase    |1992    |1   |1
The Silence of the Lambs    |1991    |5   |7
Terminator 2: Judgment Day  |1991    |4   |6
Bugsy   1991    |2   |1|0
JFK |1991    |2   |8
Beauty and the Beast    |1991    |2   |6
Thelma & Louise |1991    |1   |6
The Fisher King |1991    |1   |5
In the Shadow of the Stars  |1991    |1   |1
Manipulation    |1991    |1   |1
Mediterraneo    |1991    |1   |1
Session Man |1991    |1   |1
City Slickers   |1991    |1   |1
Deadly Deception: General Electric, Nuclear Weapons and Our Environment |1991  |1   |1
Dances with Wolves  |1990    |7   |12
Dick Tracy  |1990    |3   |7
Ghost   |1990    |2   |5
Goodfellas  |1990    |1   |6
The Hunt for Red October    |1990    |1   |3
Reversal of Fortune |1990    |1   |3
Cyrano de Bergerac  |1990    |1   |5
American Dream  |1990    |1   |1
Journey of Hope (Reise der Hoffnung)    |1990    |1   |1
Days of Waiting |1990    |1   |1
Creature Comforts   |1990    |1   |1
The Lunch Date  |1990    |1   |1
Misery  |1990    |1   |1
Total Recall    |1990    |0   |2
Driving Miss Daisy  |1989    |4   |9
Glory   |1989    |3   |5
Born on the Fourth of July  |1989    |2   |8
My Left Foot    |1989    |2   |5
The Little Mermaid  |1989    |2   |3
Dead Poets Society  |1989    |1   |4
The Abyss   |1989    |1   |4
Indiana Jones and the Last Crusade  |1989    |1   |3
Henry V |1989    |1   |3
The Johnstown Flood |1989    |1   |1
Common Threads: Stories from the Quilt  |1989    |1   |1
Cinema Paradiso |1989    |1   |1
Work Experience |1989    |1   |1
Batman  |1989    |1   |1
Balance |1989    |1   |1
Rain Man    |1988    |4   |8
Dangerous Liaisons  |1988    |3   |7
Who Framed Roger Rabbit |1988    |3   |6
Mississippi Burning |1988    |1   |7
Working Girl    |1988    |1   |6
The Accidental Tourist  |1988    |1   |4
A Fish Called Wanda |1988    |1   |3
Pelle the Conqueror (Pelle erobreren)   |1988    |1   |2
The Accused |1988    |1   |1
The Appointments of Dennis Jennings |1988    |1   |1
Beetlejuice |1988    |1   |1
Bird    |1988    |1   |1
Hôtel Terminus: The Life and Times of Klaus Barbie  |1988    |1   |1
The Milagro Beanfield War   |1988    |1   |1
Tin Toy |1988    |1   |1
You Don't Have to Die   |1988    |1   |1
The Last Emperor    |1987    |9   |9
Moonstruck  |1987    |3   |6
The Untouchables    |1987    |1   |4
Babette's Feast (Babettes gæstebud) |1987    |1   |1
Dirty Dancing   |1987    |1   |1
Harry and the Hendersons    |1987    |1   |1
Innerspace  |1987    |1   |1
The Man Who Planted Trees (L' Homme qui plantait des arbres)    |1987    |1   |1
Ray's Male Heterosexual Dance Hall  |1987    |1   |1
The Ten-Year Lunch  |1987    |1   |1
Wall Street |1987    |1   |1
Young at Heart  |1987    |1   |1
RoboCop |1987    |0   |2
Platoon |1986    |4   |8
A Room with a View  |1986    |3   |8
Hannah and Her Sisters  |1986    |3   |7
Aliens  |1986    |2   |7
The Mission |1986    |1   |7
Children of a Lesser God    |1986    |1   |5
The Color of Money  |1986    |1   |4
Top Gun |1986    |1   |4
Round Midnight  |1986    |1   |2
Artie Shaw: Time Is All You've Got  |1986    |1   |1
The Assault (De Aanslag)    |1986    |1   |1
Down and Out in America |1986    |1   |1
The Fly |1986    |1   |1
A Greek Tragedy |1986    |1   |1
Precious Images |1986    |1   |1
Women – for America, for the World  |1986    |1   |1
Out of Africa   1985    |7   |1|1
Witness |1985    |2   |8
Cocoon  |1985    |2   |2
Prizzi's Honor  |1985    |1   |8
Back to the Future  |1985    |1   |4
Kiss of the Spider Woman    |1985    |1   |4
Ran |1985    |1   |4
The Official Story (La Historia Oficial)    |1985    |1   |2
The Trip to Bountiful   |1985    |1   |2
White Nights    |1985    |1   |2
Anna & Bella    |1985    |1   |1
Broken Rainbow  |1985    |1   |1
Mask    |1985    |1   |1
Molly's Pilgrim |1985    |1   |1
Witness to War: Dr. Charlie Clements    |1985    |1   |1
Amadeus 1984    |8   |1|1
The Killing Fields  |1984    |3   |7
A Passage to India  1984    |2   |1|1
Places in the Heart |1984    |2   |7
Indiana Jones and the Temple of Doom    |1984    |1   |2
Charade |1984    |1   |1
Dangerous Moves (La Diagonale du fou)   |1984    |1   |1
Purple Rain |1984    |1   |1
The Stone Carvers   |1984    |1   |1
The Times of Harvey Milk    |1984    |1   |1
Up  |1984    |1   |1
The Woman in Red    |1984    |1   |1
The River   |1984    |0     |4
Terms of Endearment 1983    |5   |1|1
The Right Stuff |1983    |4   |8
Fanny & Alexander (Fanny och Alexander) |1983    |4   |6
Tender Mercies  |1983    |2   |5
Yentl   |1983    |1   |5
Flashdance  |1983    |1   |4
Boys and Girls  |1983    |1   |1
Flamenco at 5:15    |1983    |1   |1
He Makes Me Feel Like Dancin'   |1983    |1   |1
Sundae in New York  |1983    |1   |1
The Year of Living Dangerously  |1983    |1   |1
Return of the Jedi  |1983    |0     |4
Gandhi  1982    |8   |1|1
E.T.: The Extra-Terrestrial |1982    |4   |9
An Officer and a Gentleman  |1982    |2   |6
Tootsie 1982    |1   |1|0
Victor/Victoria |1982    |1   |7
Sophie's Choice |1982    |1   |5
Missing |1982    |1   |4
If You Love This Planet |1982    |1   |1
Just Another Missing Kid    |1982    |1   |1
A Shocking Accident |1982    |1   |1
Tango   |1982    |1   |1
To Begin Again (Volver a empezar)   |1982    |1   |1
Quest for Fire  |1982    |1   |1
Chariots of Fire    |1981    |4   |7
Raiders of the Lost Ark |1981    |4     |8
Reds    1981    |3   |1|2
On Golden Pond  1981    |3   |1|0
Arthur  |1981    |2   |4
An American Werewolf in London  |1981    |1   |1
Close Harmony   |1981    |1   |1
Crac    |1981    |1   |1
Genocide    |1981    |1   |1
Mephisto    |1981    |1   |1
Violet  |1981    |1   |1
Ordinary People |1980    |4   |6
Tess    |1980    |3   |6
Raging Bull |1980    |2   |8
Fame    |1980    |2   |6
Melvin and Howard   |1980    |2   |3
Coal Miner's Daughter   |1980    |1   |7
The Empire Strikes Back |1980    |1     |3
The Dollar Bottom   |1980    |1   |1
The Fly (A Légy)    |1980    |1   |1
From Mao to Mozart: Isaac Stern in China    |1980    |1   |1
Karl Hess: Toward Liberty   |1980    |1   |1
Moscow Does Not Believe in Tears    |1980    |1   |1
Kramer vs. Kramer   |1979    |5   |9
All That Jazz   |1979    |4   |9
Apocalypse Now  |1979    |2   |8
Norma Rae   |1979    |2   |4
Breaking Away   |1979    |1   |5
Alien   |1979    |1   |2
Being There |1979    |1   |2
A Little Romance    |1979    |1   |2
Best Boy    |1979    |1   |1
Board and Care  |1979    |1   |1
Every Child |1979    |1   |1
Paul Robeson: Tribute to an Artist  |1979    |1   |1
The Tin Drum (Die Blechtrommel) |1979    |1   |1
The Black Stallion  |1979    |0     |2
The Deer Hunter |1978    |5   |9
Coming Home |1978    |3   |8
Midnight Express    |1978    |2   |6
Heaven Can Wait |1978    |1   |9
Days of Heaven  |1978    |1   |4
California Suite    |1978    |1   |3
The Buddy Holly Story   |1978    |1   |3
Death on the Nile   |1978    |1   |1
The Flight of the Gossamer Condor   |1978    |1   |1
Get Out Your Handkerchiefs (Préparez vos mouchoirs) |1978    |1   |1
Scared Straight!    |1978    |1   |1
Special Delivery    |1978    |1   |1
Teenage Father  |1978    |1   |1
Thank God It's Friday   |1978    |1   |1
Superman    |1978    |0     |3
Annie Hall  |1977    |4   |5
Star Wars   1977    |6     |1|0
Julia   1977    |3   |1|1
Close Encounters of the Third Kind  |1977    |1     |8
The Goodbye Girl    |1977    |1   |5
A Little Night Music    |1977    |1   |2
Gravity Is My Enemy |1977    |1   |1
I'll Find a Way |1977    |1   |1
Madame Rosa (La Vie devant soi) |1977    |1   |1
The Sand Castle (Le Château de sable)   |1977    |1   |1
Who Are the DeBolts? And Where Did They Get Nineteen Kids?  |1977    |1   |1
You Light Up My Life    |1977    |1   |1
Rocky   1976    |3   |1|0
Network 1976    |4   |1|0
All the President's Men |1976    |4   |8
Bound for Glory |1976    |2   |6
A Star Is Born  |1976    |1   |4
Fellini's Casanova (Il Casanova di Federico Fellini)    |1976    |1   |2
The Omen    |1976    |1   |2
Black and White in Color (Noirs et blancs en couleur)   |1976    |1   |1
Harlan County, USA  |1976    |1   |1
In the Region of Ice    |1976    |1   |1
Leisure |1976    |1   |1
Number Our Days |1976    |1   |1
King Kong   |1976    |0     |2
Logan's Run |1976    |0     |2
One Flew over the Cuckoo's Nest |1975    |5   |9
Barry Lyndon    |1975    |4   |7
Jaws    |1975    |3   |4
Dog Day Afternoon   |1975    |1   |6
Nashville   |1975    |1   |5
Shampoo |1975    |1   |4
The Sunshine Boys   |1975    |1   |4
Angel and Big Joe   |1975    |1   |1
Dersu Uzala |1975    |1   |1
The End of the Game |1975    |1   |1
Great (Great (Isambard Kingdom Brunel)) |1975    |1   |1
The Man Who Skied Down Everest  |1975    |1   |1
The Hindenburg  |1975    |0     |3
The Godfather Part II   1974    |6   |1|1
The Towering Inferno    |1974    |3   |8
The Great Gatsby    |1974    |2   |2
Chinatown   1974    |1   |1|1
Murder on the Orient Express    |1974    |1   |6
Earthquake  |1974    |1     |4
Alice Doesn't Live Here Anymore |1974    |1   |3
Amarcord    |1974    |1   |3
Harry and Tonto |1974    |1   |2
Closed Mondays  |1974    |1   |1
Don't   |1974    |1   |1
Hearts and Minds    |1974    |1   |1
One-Eyed Men Are Kings (borgnes sont rois, Les)  |1974    |1   |1
The Sting   1973    |7   |1|0
The Exorcist    1973    |2   |1|0
The Way We Were |1973    |2   |6
Cries and Whispers (Viskningar och rop) |1973    |1   |5
A Touch of Class    |1973    |1   |5
Day for Night (La Nuit américaine)  |1973    |1   |4
Paper Moon  |1973    |1   |4
The Paper Chase |1973    |1   |3
Save the Tiger  |1973    |1   |3
The Bolero  |1973    |1   |1
Frank Film  |1973    |1   |1
The Great American Cowboy   |1973    |1   |1
Princeton: A Search for Answers |1973    |1   |1
The Godfather   1972    |3   |1|0
Cabaret 1972    |8   |1|0
The Poseidon Adventure  |1972    |1     |8
Travels with My Aunt    |1972    |1   |4
Butterflies Are Free    |1972    |1   |3
The Candidate   |1972    |1   |2
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)|1972    |1   |2
A Christmas Carol   |1972    |1   |1
Limelight   |1972    |1   |1
Marjoe  |1972    |1   |1
Norman Rockwell's World... An American Dream    |1972    |1   |1
This Tiny World |1972    |1   |1
The French Connection   |1971    |5   |8
Fiddler on the Roof |1971    |3   |8
The Last Picture Show   |1971    |2   |8
Nicholas and Alexandra  |1971    |2   |6
Sentinels of Silence    |1971    |2   |2
Bedknobs and Broomsticks    |1971    |1   |5
Summer of '42   |1971    |1   |4
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)    |1971    |1   |2
The Hospital    |1971    |1   |2
Klute   |1971    |1   |2
Shaft   |1971    |1   |2
The Crunch Bird |1971    |1   |1
The Hellstrom Chronicle |1971    |1   |1
Patton  1970    |7   |1|0
Ryan's Daughter |1970    |2   |4
Airport 1970    |1   |1|0
Love Story  |1970    |1   |7
M*A*S*H |1970    |1   |5
Tora! Tora! Tora!   |1970    |1   |5
Women in Love   |1970    |1   |4
Lovers and Other Strangers  |1970    |1   |3
Woodstock   |1970    |1   |3
Cromwell    |1970    |1   |2
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)  |1970    |1   |2
Interviews with My Lai Veterans |1970    |1   |1
Is It Always Right to Be Right? |1970    |1   |1
Let It Be   |1970    |1   |1
The Resurrection of Broncho Billy   |1970    |1   |1
Midnight Cowboy |1969    |3   |7
Butch Cassidy and the Sundance Kid  |1969    |4   |7
Hello, Dolly!   |1969    |3   |7
Z   |1969    |2   |5
Anne of the Thousand Days   1969    |1   |1|0
They Shoot Horses, Don't They?  |1969    |1   |9
Marooned    |1969    |1   |3
The Magic Machines  |1969    |1   |2
The Prime of Miss Jean Brodie   |1969    |1   |2
True Grit   |1969    |1   |2
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein) |1969    |1   |1
Cactus Flower   |1969    |1   |1
Czechoslovakia 1968 |1969    |1   |1
It's Tough to Be a Bird |1969    |1   |1
Oliver! 1968    |5     |1|1
The Lion in Winter  |1968    |3   |7
Romeo and Juliet    |1968    |2   |4
Funny Girl  |1968    |1   |8
2001: A Space Odyssey   |1968    |1   |4
Bullitt |1968    |1   |2
The Producers   |1967    |1   |2
Rosemary's Baby |1968    |1   |2
The Subject Was Roses   |1968    |1   |2
The Thomas Crown Affair |1968    |1   |2
War and Peace (Voyna i mir) |1968    |1   |2
Charly  |1968    |1   |1
Journey into Self   |1968    |1   |1
Robert Kennedy Remembered   |1968    |1   |1
Why Man Creates |1968    |1   |1
